clustering_id,method,unit_ids,cluster_ids,annotation
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c905,3,CD4T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c913,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c915,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c923,1,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c925,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c931,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c940,1,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c942,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c944,1,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c948,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c949,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c959,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c964,3,CD4T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c966,3,CD4T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c967,3,CD4T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c968,1,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c974,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c979,3,CD4T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c980,1,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c982,0,Muscle-like
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c984,2,CD8T
da47861a-e671-48ec-8dc2-891d2bf68bea,phenograph,RCC-TMA609(reg_4x5)-dst=reg019-src=reg005_c985,2,CD8T
